Question,Correct
बेलायतमा निजीकरण गरिएको पहिलो सस्थान कुन हो ?  ,ब्रिटिस पेट्रोलीयम निगम
 लहरेखोकी रोगको सङ्क्रमणकाल कति दिन हुन्छ ?  ,७-१४
सन् २०१४ को FIFA विश्वकप बिजेता राष्ट्र जर्मनीले कुन राष्ट्रलाई हराएर बिजेता भएको थियो ?  ,Argentina
भेडामा नस्ल सुधारका उपाय पत्ता लगाउने बैज्ञानिक को हुन् ?  ,रबर्टवेक बेल
प्यासिफिक एसिया ट्राभल एसोसिएसन (पाटा) द्वारा सन् २०१९ अक्टोबरमा सार्वजनिक तथ्याङ्कअनुसार पर्यटक वृद्धिदरमा एसिया प्रशान्त क्षेत्रमा पहिलो स्थानमा रहन सफल राष्ट्र कुन हो ?  ,नेपाल
नेपाल भारत संयुक्त आयोगको बैठकमा सहभागी भारतीय विदेशमन्त्री एसजयशंकर दुइ दिने  काठमाडौँ भ्रमणमा कहिले आएका थिए?  ,२०७६ भाद्र ४
नाम्चे बजार र नेपालगंजको मिल्ने कुरा के हो ?  ,अक्षांश
Singapore के का लागी प्रसिद्ध छ ?  ,व्यापार
व्यक्तिको सम्पूर्ण आम्दानी माथि लगाइने कर लाई के भनिन्थ्यो ? (17th Cuntury French Revolution Time))  ,भिनतेम्स
France मा कुन कुन धर्मावलम्बी हरुको बसोबास थियो? (Around 17th Century)  ,सबै उत्तर ठिक  छन्
राणाकालमा ग्राम प्रसासनअन्तर्गत के के पर्दथे ?  ,माथिका सबै
नेपालमा वडापत्रको प्रयोग कहिलेदेखि भएको थियो ?  ,२०५३
Credit कार्ड प्रयोगमा ल्याउँने नेपालको पहिलो बैँक कुन हो ?  ,Himalayan Bank
नेपालमा कृषि गणना कति कति वर्षमा गरिन्छ ?  ,10 / 10
कृषिमा पशु क्षेत्रको योगदान कति प्रतिसद रहेको छ ?  ,२८ %
"""रुपाबाहिनी"" कुन देशको Tv channel हो ?  ",SRILANKA
पौष्टिक पदार्थ कती प्रकारका हुन्छन ?  ,6 प्रकार
Which is the tallest animal in the world?  ,Giraffe
नेपाल मा कतिवटा उप -महानगरपालिका छन् ?  ,११
"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is  ",60
Coffee खेतीको लागी नेपालको प्रसिद्ध जिल्ला कुन हो ?  ,Gulmi
Superior Lake कुन महादेशमा पर्दछ ?  ,North America
पृथ्वीको सतह माथि वायु कति KM टाढा सम्म फैलिएको छ ?  ,960 KM
निजामती कर्मचारीलाई पेन्सन दिने प्रचलन कसले सुरु गरेका हुन् ?  ,Juddha Shumsher
"""मोह"" उपन्यास लेखक कुन गैरनेपाली श्रस्टा हुन ?  ",विकलचन्द्र आचार्य
रामशाह कहिले गोर्खाका राजा भएका थिए ?  ,वि.स.१६६३
नेपालमा मन्त्रालयहरुको संख्या कति हुने भनेर निर्णय कसले गर्छ ?  ,नेपाल सरकार
कार्ल मार्क्सको मिर्त्यु कहिले भएको थियो   ,१९८३ मार्च १४
सर्वप्रथम Civil Society सव्दको प्रयोग गर्ने व्यक्ती को को हुन् ?  ,सिसरो
Monopsony भन्नाले के बुझिन्छ?  ,क्रेता एकाधिकार
कहिले देखि नेपालमा साधारण र विकास बजेट फरक गरिएको हो ?  ,वि. स. २०१८ साल
""" Purple Haze "" गाजा नेपालको कुन जिल्ला मा मात्र पाइने गर्छ ?  ",सोलुखुम्बु
मान्छेको मुटुको सरदार तौल कति हुन्छ ?  ,300 Gram
धेरै पानीको मात्रा भएको फल कुन हो ?  ,खरभुजा
Missy Franklin is related with?  ,Swimming
सर्वोच्च अदालतले अनलाइन तारेख सेवा कहिलेदेखि सुरु गरेको हो ?  ,वि.सं. २०७१ मङ्सिर १४
मदन  पुरस्कार २०७६ कुन कृतिलाई  प्रदान गरीयो?  ,रणहार
३२ औ गृष्मकालीन ओलम्पिक खेल कहाँ  हुदैछ?   ,जापान (सन् २०२०)
हाल नेपाल को संबिधानमा अनुसार कतिवटा राज्यका निर्देशक  सिद्धान्त  व्यवस्था गरिएको छ?  , ४ वटा
उच्च हिमाल हरुको देश भनेर कुनलाई चिनिन्छ ?  ,Nepal
"Which Continent is called ""Dark Continent"" ?  ",Africa
रोम सहर कुन नदीको किनारमा रहेको छ?  ,टाईबर नदि
नेपाली भाषा द्वारा सबै नेपाली लाई एकतामा आबद्ध गर्ने काम कसको हो ?  ,आदि कवि भानुभक्त आचार्य
शखघर सख्वाको मूल पेस कुन हो ?  ,व्यापार
2013 AD December 10 मा फाँसी दिईएका ६५ बर्षिय Abdul Quader Molla कुन SAARC राष्ट्रका कट्टरपन्थी इस्लामिक नेता हुन् ?  ,Bangladesh
महात्मा गान्धीको जन्म कहिले भएको थियो ?  ,1869 AD
राणाकालमा नेपाललाई कति प्रसासनिक क्षेत्रमा बिभाजन गरिएको थियो ?  ,9
नेपालमा सहकारी बैंकको स्थापना कहिले भएको थियो ?        ,२०२०
नेपालको सबै भन्दा ठुलो भन्सार नाका कुन हो ?  ,Birgunj
Baikuntha Manandhar is related with which sport?   ,Athletics
बंगलादेशको  सरकारी  विमान सेवालाई के भनिन्छ ?  ,Biman
पौष्टिक पदार्थ कति प्रकारका हुन्छन ?  ,6
इस्लामिक स्टेटका प्रमुख अबु बकर अल बग्दादी कहिले मारिए ?  ,"अक्टोबर २६,२०१९"
पहिलो पटक Internet Banking प्रयोगमा ल्याउने बैंक कुन हो ?  ,कुमारी बैंक
Parsa जिल्लाको सदरमुकाम कुन हो ?  ,Birgunj
सबैभन्दा बढी देश भएको महादेश कुन हो ?  ,अफ्रीका
लाटोकोसेरो लाई के को प्रतिक मानिन्छ ?  ,बुद्धि
 पशुपति नाथलाई मुख______  का दिन मुकुट लगाइ दिने चलन छ।  ,अष्टमी
राजा त्रिभुवनको जन्म कहिले भएको हो ?  ,वि.स. १९६३ अषाढ १७
"चाणक्यका अनुसार राजाले बुद्धिमान, अनुभवी, र विश्वास पात्र मान्छे लाई के मा नियुक्ति गर्नु पर्छ भनेका छन् ?  ",अमात्य
When was Socrates born?  ,469 BC
नेपाल आयल निगमले ब्यापारिक प्रयोजन र घरायसी प्रयोजनको लागि छुट्टा छुट्टै रंगको ग्यास सिलिण्डर कहिले प्रचलनमा ल्याएको हो ?  ,2070 Asar 1
नेपालमा धितोपत्र कारोबार कहिले बाट सुरु भएको थियो ?  ,BS 2050 Poush
When was Chitwan National Park listed in World Heritage Site?  ,1984 AD
सन् २०१० अप्रील १२ र १३ मा सम्पन्न Nuclear Summit 2010 कहाँ भएको थियो ?  ,"Washington DC, USA"
काठमाडौँ उपत्यका बाट दैनिक 650 Metric Ton फोहोर उत्पादन हुन्छ । यस मध्ये काठमाडौँ उपत्यका का अस्पताल बाट कति प्रतिसत फोहर निस्किन्छ ? (According to data of 2013 AD)  ,15 %
सात गीतिएल्बम एकसाथ सार्वजनिक गरी रेकर्ड कायम गर्ने स्रष्टा को हुन् ?  ,डा. डीआर उपाध्याय
नेपाल मा कतिवटा गाउँ पालिका छन् ?   , ४६०
नेपाल मा सबै भन्दा धेरै कुन धर्मबलम्बि हरु छन् ?  ,Hindu
पृथ्वीमा सबै भन्दा उच्च भागको उचाई कती छ ?  ,8848 M
Nuwakot जिल्लाको सदरमुकाम कुन हो ?  ,Bidur
शीतला रोग लागेर मर्ने नेपालका राजा को हुन् ?  , गिर्वाणयुद्ध विक्रम शाह
धान नाच कुन जातिमा प्रचलित नाच हो ?  ,Limbu
"""हिटलर र यहुदी""  कृतिका लेखक को हुन् ?   ",वि.पी. कोइराला
बेलायेती राजपरिवारको कुन सदस्यले 2016 Feb. मा नेपाल भ्रमण गरेका थिए ?  ,Prince Henry (Harry)
नेपाल भुमि सुधार कार्यक्रम कहिले लागु भयो ?  ,वि.स.२०२१
राष्ट्रिय महिला स्वास्थ्य स्वयंसेविका दिवस कहिले मनाईन्छ ?  ,Dec 5
नेपाल बिकाश मंच (NDF) को गठन कहिले भएको हो ?  ,2000 AD
सगरमाथा सोर्ण महोत्सवको आयोजना कहिले गरिएको थियो ?        ,सन् २००३
ग्यालिलियोको जन्म कहिले भएको थियो ?  ,सन् १५६४ फेब्रअरी १५  मा
COP15 के संग सम्बन्धित छ ?  ,जलवायु परिवर्तन
न्युरोन कती प्रकारका हुन्छन ?  ,2 प्रकार
पहिलो पटक Credit Card प्रयोगमा  बैंक कुन हो ?  ,नबिल बैंक
 संयुक्त राज्य अमेरिकाले जलवायु परिवर्तनसम्बन्धी पेरिस सम्झौताबाट अलग्गिएको जानकारी संयुक्त राष्ट्रसङ्घलाई औपचारिक रूपमा कहिले गरायो ?  , सन् २०१९ नोभेम्वर ४
"नेपाल को संबिधान अनुसार ,संबिधान को पालना गर्नु,,,,,,,,,,,,,,,,,,,,,,, कर्तव्य हुनेछ ।  ",प्रत्येक ब्यक्तिको
ऋणमोक्ष दह कहाँ पर्छ ?  ,मुगु
हिमाली प्रदेशमा कति ओटा जिल्लाहरु पर्दछ ?  ,16
भद्राधिवास कुन कालमा बनेको हो ?  ,Licchavi काल
गौतम बुद्धले आफ्नो उपदेशहरुको बारेमा कति समयसम्म ठाउँ ठाउमा प्रचार गरेका थिए ?  ,४५ वर्ष
1498 AD मा Vasco da Gama कहाँ आई पुगेका थिए?  ,India
अरस्तुका पिता निकोमेसस अरस्तुलाई के बनाउन चाहन्थे?  ,चिकित्सक
कौटिल्य ले राजा लाई के भनेका छन्?  ,राज्यका स्वामी
United Nations बाट सबै आप्रवासी कामदार तथा तिनीहरुको परिवारको सदस्यको अधिकार सम्बन्धि अन्तराष्ट्रिय महासन्धि कुन वर्ष को December 18 तारिख मा पारित भएको थियो ? त्यस पश्चात December 18 लाई अन्तराष्ट्रिय आप्रवासन दिवस मनाउन थालिएको हो ?  ,1990 AD
How many members are there in security council of U.N.O.? (including temporary and permanent)  ,15
नेपालमा औद्योगिक नीति कहिले देखि सुरु भएको हो ?  ,1958 AD
शरीरमा कति प्रकारका रक्तनलीहरु हुन्छन ?  ,३
HIV AIDS सर्वप्रथम कहाँ देखा परेको थियो ।  ,United States of America
SAARC सचिवालयको उद्घाटन कसले गरेका हुन् ?  ,King Birendra
नेपाललाई खुला दिसामुक्त राष्ट्र कहिले घोषणा गरिएको हो ?  ,विसं २०७६ असोज १३
१३औ सग गमे- २०१९(काठमाडौँ -पोखरा) कति पदक वितरण गरिने भएको छ ?   ,१११५
The percentage profit earned by selling an article for Rs. 1920 is equal to the percentage loss incurred by selling the same article for Rs. 1280. At what price should the article be sold to make 25% profit?  ,Rs. 2000
How many districts are there in eastern development region of Nepal?  ,16
Far Western Development Region मा पर्ने जिल्ला कुन हो ?  ,Baitadi
सबै भन्दा धेरै गजुर भएको मन्दिर कुन हो?  ,"Krishna Mandir, Patan"
Who is the writer of the book The kingdom in the Himalayas - Nepal?  ,Toni Hagen
Which two Nepali got VC on First World War?  ,Kulbir Thapa & Karna Bdr. Thapa
राज्यकालको सुरुमा आफ्नो ज्वाईलाई राज्य सुम्पी गुरुको पछि लाग्ने राजा को हुन ?  ,शिवदेव प्रथम
माओको नेतृतवमा Army of the chines Workers and peasents  कहिले गठन गरियो ?  ,सन् १९२८
बिष्णुगुप्त कसको वास्तविक नाम हो ?  ,चाणक्य
""" प्रेम नै सबै समस्याको समाधान हो "" यो कसको भनाइ हो ?  ",टाल्सटाय
विशव व्यापार संगठनको पहिलो मन्त्रिस्त्रिय बैठक कहाँ भएको थियो ?  ,सिंगापुर
"With the slogan ‘Ek ghar ek charpi, najikai dhara, disamukta desh banaun lagi paraun sara’ (One house one latrine, tap nearby, let’s make open defecation free nation; let’s all strive’, when was the thirteenth national sanitation week organized?  ","23-29 Jestha, 2069"
पुर्वान्चल ग्रामिण बैंक को स्थापना कहिले भएको थियो ?  ,BS 2050
When did FIFA World Cup Trophy arrived in Nepal?  ,2070 BS Poush 6
माल्दिव्सको  सरकारी  विमान सेवालाई के भनिन्छ ?  ,Maldives International airways
Koshitappu वन्यजन्तु आराक्ष्य क्षेत्रको क्षेत्रफल कति रहेको छ ?  ,175 Sq. KM
आठौँ राष्ट्रिय कर दिवस (२०७६) को नारा के हो ?  ,"""स्वच्छ कर प्रशासन :विकास र सुशासन"""
बङ्गलादेशका राष्ट्रपति मोहम्मद अब्दुल हमिद नेपालको चारदिने औपचारिक भ्रमणका सन्र्दभमा कहिले नेपाल आउनुभएको हो ?   ,विसं २०७६ कात्तिक २६
विश्व को सबैभन्दा पहिलो र  छोटो  लिखित  संबिधान कुन हो?  ," अमेरिकाको संबिधान सेप्तेम्बेर १७, १७८७"
नेपालको भुकम्प पिडित लाई उद्धार गर्न आएको कुन देश को सैनिक जहाज दुर्घटनामा परेको थियो ?  ,America
संसारको सबै भन्दा ठुलो बरन्डा कुनलाई मानिन्छ?  ,रामेशोरम मन्दिर India
नेपालमा सरदर बार्षिक बर्षा कति हुन्छ ?   ,करिब २५० अर्ब घनमिटर
नेपालमा सर्बप्रथम रेडियो सेट राख्ने को हुन् ?  ,Juddha Shamsher
भगवान Gautam Buddha को जन्म भएको कति दिनमा उनको आमाको मृत्यु भएको थियो?  ,५ दिन
Confucius धर्मको उदय कहाँ भएको थियो?  ,China
महान दार्सनिक Confucius को मृत्यु कहिले भएको थियो ?  ,ईसापुर्व ४७९
महात्मा गान्धीको हत्या कहिले भयो ?    ,सन् १९४८ जनवरी ३०
नौं सय मेगावाट क्षमताको अरुण तेस्रो जलविद्दुत आयोजना निर्माणका लागि भारतिय कम्पनी सतलज जलविद्दुत निगमसँग परियोजना विकास सम्झौता कहिले भएको थियो ?  ,2071 Mangshir 9
सन् २०१५ को Cricket विश्वकप मा कुन देशलाई हराएर अस्ट्रेलिया ले विश्वकप जितेको थियो ?  ,New Zealand
सरकारले इबोला संकमित बिरामीको उपचारमा संलग्न नेपाली स्वास्थ्यकर्मीलाई इबोला संक्रमण भई मृत्यु भएमा आश्रित परिवारलाई क्षतिपूर्तिस्वस्प कति रकम उपलब्ध गराउने व्यवस्था गरेको छ ?  ,25 Lakh
उखु खेतिका लागि कुन प्रकारको माटो उपयुक्त हुन्छ ?  ,दोमट माटो
अमेरिकाका पहिलो राष्ट्रपति जर्ज वासिङ्टन  ले आफ्ना सैनिक संग खेलेको खेल कुन हो?  ,Rounder/Baseball
तल दिएको मध्य कुन जिल्ला सगरमाथा अञ्चलमा पर्दैन ?  ,Sarlahi
Mid-Western Development Region मा कति ओटा अञ्चल छन् ?  ,3
कुन ग्रहमा वायुमण्डल छैन ?  ,Mercury
"सर्वप्रथम नेपालमा "" राहादानीको "" व्यवस्था कसको पालामा भएको थियो ?  ",भिमसेन थापा
शिवदेव प्रथमका जेष्ठ सुपुत्र अंशुवर्माको मृत्यपश्चात राजगुद्दीमा आशिन भै महाराजधिराज पदवी धारण गर्ने को हुन ?  ,उद्यदेव
हिन्दु धर्मअनुसार बुद्धलाई बिष्णुका दश अबतारमध्ये कति औ अबतार मानिन्छ ?  ,९
Who shifted Durbar High School from Thapathali Durbar to Charburja Durbar to Seto durbar and then to Narayanhity Durbar and opened for high class government officers as well?  ,Ranodip Singh Kunwar Rana
Abraham Lincoln ले कहिले देखि वकालती पेशा सुरु गरेका थिए ?  ,1836 AD
सिहदरबारको सिलान्यास कसबाट भएको थियो ?  ,Chandrasamser
क्यारेट शब्द कुन बस्तु संग प्रयोग हुन्छ ?  ,सुन
कृषि उत्पादन को लागि उतम माटो कुन हो ?  ,पाँगो माटो तथा तलैया माटो
What is the full form of WWW?  ,World Wide Web
Silly Point कुन खेलमा प्रयोग गरिने शब्द हो ?  ,Cricket
नेपाल विज्ञान तथा प्रविधि प्रज्ञाप्रतिष्ठान (नास्ट) ले विदेशमा रहेका नेपाली वैज्ञानिकको ज्ञान र सीपलाई स्वदेशमा सदुपयोग गर्ने उद्देश्यसाथ सञ्चालन गर्न थालेको कार्यक्रम कुन हो ?   ,ब्रेन पुलिङ
नेपालको तराई क्षेत्रमा कुन माटो पाईएको छ ?  ,पागो माटो
Lumbini अञ्चलमा कती ओटा जिल्लाहरु छन् ?  ,6
Bhajhang जिल्लाको सदरमुकाम कुन हो ?  ,Chainpur
मैथीली भाषाको पहिलो साहीत्यक कृति कुन हो ?   , ममाघर
पासांङ् चुलिको उचाई कति मिटर रहेको छ ?  ,७३५१ मि
व्यवस्थापिका संसद हुन कति वर्ष उमेर पुरा भएको हुनुपर्दछ ?  ,२५
न्याय परिसदमा जम्मा कतिजाना सदस्यहरु रहन्छन ?  ,५
बाराक ओबामा अमेरिकाको कति औ रास्ट्रपति हुन् ?  ,56
नेपाल सरकारले नागरिक बचत पत्र कहिले बाट प्रयोग मा ल्याएको हो ?  ,BS 2058
आन्तरकि हवाई यात्रु ले तिर्दै आएको विमानस्थल प्रयोग शुल्क (Airport Tax) कहिले देखी मुलुकभर टिकटमै समाबेश गरिएको हो ?  ,"Magh 1, 2070 BS"
अन्य माटोको तुलनामा जैविक अवशेस कुन माटो मा कम पाईन्छ ?   ,बलौटे पत्थरिलो माटो
Who is the inventor of typewriter machine?  ,Christopher Latham Sholes
यौवन अवस्था कति वर्षदेखि सुरु हुन्छ ?  ,१३
प्रधानमन्त्री स्वदेश वा विदेश भ्रमणमा रहेको अवस्थामा समेत भिडियो कन्फ्रेन्सिङलगायतका सूचना प्रविधिको प्रयोग गरेर मन्त्रिपरिषद्को बैठक बस्न सक्ने व्यवस्था कहिले गरिएको हो ?  ,विसं २०७६ भदौ ४
 नेपाल संयुक्त राष्ट्र संघ को आर्थिक तथा सामाजिक परिषद को कति पटक सदस्य भएको छ ?  ,३ पटक
भोटमा मूल भएका नेपालका नदीहरु कति वोटा छन् ?  ,6
Which is the smallest and biggest district in Nepal?  ,Bhaktapur & Dolpa
नेपलको पहिलो प्रधानमन्त्री कसलाई मानिन्छ ?  ,भिमसेन थापा
गौरवमय क्रान्ति (Glorious Revolution) को समयमा बेलायत का राजा को थिए ?  ,James II
कौटिल्य को अर्थशास्त्रमा कती श्लोक हरू रहेका छन् ?   ,6000
Who established Durbar High School and started schooling from his Palace?  ,Jung Bahadur Kunwar Rana
अन्तराष्ट्रिय मुद्रा कोषको [प्रधान कार्यालय कहाँ छ ?  ,वसिङटन डी.सी
उपभोक्ता माथि सिधै लगाइने कारलाई के भनिन्छ ?  ,प्रत्यक्ष कर
माइती नेपाल कुन कामको लागि बढी प्रख्यात छ ?  ,चेली-बेटी बेचबिखनमा रोकथाम
What is the name of the aircraft sent by America for the research in Jupiter?  ,Pioneer 10
अविष्कार केन्द्र को स्थापना कहिले भएको हो ?  , बि स २०७६ कार्तिक १
सर्बप्रथम कुन 'अफ्रिकी देश' वोर्ल्ड कप फूटबल का लागि छनोट भएको थियो?   ,इजिप्ट
How many districts are there in Koshi Zone?  ,6
Dadeldhura जिल्लाको सदरमुकाम कुन हो ?  ,Dadeldhura
क्षेत्रफल को आधार मा सबै भन्दा ठुलो देश कुन हो ?  ,Russia
समुद्री सतहबाट सगरमाथाको उचाइ पत्ता लगाउने देश कुन हो??  ,Italy
शेर्पाहरुले लगाउने छालाको घुडा सम्म आउने जुत्तालाई के भनिन्छ ?  ,दोचा
शखघर सख्वा कुन जातिका व्यापारी थिए ?  ,खुद्र
संबिधानसभा मा नेपाल सरकार (मन्त्रिपरिषद) ले मनोनित गर्ने सदस्य संख्या कति हो ?  ,26
चाणक्यले राज्य को प्रमुख अंग के लाई मानेका छन्?  ,राजा
"मनुष्यहरु को निवास भएको भुमि पनि अर्थ हो, भुमि कमाउने, रक्षा गर्ने उपाए हरु बनाउने शास्त्रलाई नै अर्थशास्त्र भनिन्छ। यो भनाई कसको हो?  ",चाणक्य
नेपालमा कति प्रजातिका जडिबुटीहरु भेटिएका छन् ?  ,२५० प्रजातिका
बहुराष्ट्रिय लगानी प्रत्याभुति सस्थाको प्रधान कार्यालय कहाँ छ ?  ,वसिङटन डी.सी.
सर्बप्रथम मूल्य अभिवृद्धि कर कुन देश मा लागु भएको हो ?  ,France
हाम्रो शारीरमा कति किसिमका खनिज पईन्छन् ?  ,13
एकै ओभरमा छ छक्का प्रहार गर्ने पहिलो नेपाली को हुन ?  ,Aakash Thapa
नेपालको पहिलो (Antibiotic) औषधी  कुन हो ?  ,Penicillian
नेपालमा डिजिटल साक्षरता अभियान सञ्चालन गर्ने पहिलो प्रदेश कुन हो ?  , प्रदेश १
" नेपाल को पहिलो भू - उपग्रह ""नेपाली स्याट -१"" को प्रक्षेपण कहिले गरियो?  ", बि स  २०७६  बैशाख ५
Bagmati अञ्चलको सदरमुकाम कुन हो ?  ,Kathmandu
Bajura जिल्लाको सदरमुकाम कुन हो ?  ,Martadi
लिम्बू भाषामा प्रयोग गरिने लिपि कुन हो ?  ,सिरीजङ्घा
स्वस्थानी ब्रतकथा कुन पुराण बाट लिएको हो ?  ,स्कन्ध पुराण
सुकरात मानिसलाई ज्ञान दिने होइन ………. बनाउन चाहन्थे ?  ,ज्ञानी
गान्धी व्यावसायीक कामको लागि दक्षिण अफ्रीका कहिले गएका थिय ?  ,सन् १८९४
अरस्तुका रचना कृति हरु कति रहेका छन् ?  ,४०० भन्दा बढी
नेपाली मुद्रालाई बास्केट प्रणालीमा विनिमय गर्ने निर्णय कहिले भएको थियो?  ,वि. स. २०३४ जेठ १७
विशवमा नेपालसहित कति भू-परिवेस्थीत् देशहरु छन् ?  ,३१
मकै र कोदो को लागि उपयुक्त माटो कुन मानिन्छ ?  ,रातो फुस्रो माटो
Goddess of Love and Beauty उपनामले समेत चिनिने ग्रह कुन हो?  ,Venus
Makalu Barun राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?  ,1500 Sq. KM
Doing Business Report-2020 अनुसार नेपाल कति औं स्थानमा पर्न सफल भएको छ ?  , ९४  औ
Bheri अञ्चलको सदरमुकाम कुन हो ?  ,Nepalgunj
राप्ती अञ्चलको सदरमुकाम कुन हो ?  ,Tulsipur
पैसा छुँदा पाप लाग्छ भन्ने विश्वास गर्ने जाती कुन हो ?  ,राउटे
"नेपालका कुन कवि ""बिम्ब कवि"" का रुपमा पनि परिचित छन् ?  ",रमेश श्रेष्ठ
From which country started Newspaper?  ,China
महान दार्सनिक Confucius को जन्म कहाँ भएको थियो?  ,Lu State of China
बि. स. २०१८ माघ ९ मा जनकपुरमा राजा महेन्द्र माथी बम प्रहार गर्ने को थिए ?  ,Durga Nand Jha
सर्वप्रथम नेपाल अधिराज्यको प्रधान न्यायालयको स्थापना कसको पालामा भएको थियो ?  ,जुद्दसम्सेर
खुलाद्वार निति भन्नाले के बुझिन्छ ?  ,स्वदेशी र बिदेसी लगानीकर्ता लाई समान ब्वयहार गर्नु
पर्यटन विकास बोडको अध्यक्षमा को रहन्छ ?  ,पर्यटन मन्त्रि /राज्यमन्त्री
सगरमाथा दिवस कहिले मानाइन्छ ?  ,Jestha 16
एसियाको सानो राष्ट्र कुन हो ?  ,MALDIVES
जलवायु परिवर्तनसम्बन्धी राष्ट्रसंघीय सम्मेलन (कोप-२५) -कोप २०१९ कहाँ हुदैछ?  ," पेरिस ,फ्रान्स"
सबै भन्दा गहिरो महासागर कुन हो ?  ,प्रशान्त
राजा जनकको दरबारमा रहेको शिव धनुषको नाम के थियो ?  ,पिनाक
बृहत् ज्ञानकोष का लेखक को हुन् ?  ,Didaro
मध्यकालीन पाटन राज्यको प्रथम शोतन्त्र शासक को थिए ?   ,बिष्णु सीह
Who was the father of Aristotle?  ,Nicomachus
सरकारले वि.सं २०७१ मंसिर १६ गते कति नयाँ नगरपालिका घोषणा गरेको छ ?  ,61
वर्तमान अवस्थामा ऋणको कुन भाग बढेको छ ?  ,बहुपक्षीय ऋण
नेपालको उद्योगका संस्थापक कुन राणा प्रधानमन्त्रीलाई भनिन्छ ?  ,Juddha Shumsher
हैजा रोग कुन किटाणु बाट सर्दछ ?  ,Vibrio Cholerae
सार्क रास्ट्रको कुल क्षेत्रफल वर्ग किमि छ ?  ,4369573 km
 ASEAN को दशौ सदस्य राष्ट्र कुन हो ?  ,कम्बोडिया
अर्थ मन्त्रालय एवं मातहतका विभाग तथा कार्यालयका काममा प्रभावकारिता ल्याउने उद्देश्यले सञ्चालनमा ल्याइएको गुनासो सुनुवाइ कक्षलाई के भनी चिनिन्छ ?  ,बिगुल
नागढुङ्गा–नौबिसे सुरुङमार्गको शिलान्यास कहिले गरिएको हो ?  , विसं २०७६ कात्तिक ४
नेपालको पहिलो आधुनिक बैंक कुन  हो?  ,नेपाल बैंक लिमिटेड
हाल नेपाल को संबिधानमा अनुसार कति प्रकारका अदालत हुनेछन।  ,३ प्रकार
Central Development Region मा कति ओटा जिल्ला हरु रहेको छ ?  ,19
रारा ताल कति उचाइमा रहेको छ ?  ,3200 M
गोठाले भनेर कुन साहित्यकार लाई चिनिन्छ ?  ,गोबिन्द बहादुर मल्ल
अरनिकोको मिर्त्यु कहिले भएको थियो ?  ,वि.स.१३६३
Socrates को मृत्यु कहिले भएको हो ?  ,इसपुर्व 399
गणतन्त्र नेपालको प्रथम उपरास्ट्रपति को हुन् ?  ,परमानन्द झा
नेपालले विश्व व्यापार संगठनको सदस्यता कहिले  प्राप्त गर्यो?  ,23 अप्रिल 2004
Tied Loan भन्नाले के बुझिन्छ ?  ,ससर्त ऋण
मानव सरिरमा कती ओटा प्रणालीहरु हुन्छन?  ,9
Flying Shuttle का आबिस्करक को थिए ?  ,John Kay
पहिलो मिस नेपाल को हुनुहुन्छ ?  , रुवी राणा
नेपालमा सन् २०३० सम्ममा कुपोषणको दर कति प्रतिशतमा झार्ने लक्ष्य लिइएको छ ?  , १४ प्रतिशत
"५२ पोखरी, ५३ तालको जिल्ला भनेर कुन लाई चिनिन्छ ?  ",Rukum
"चेपे नदीको मुहान नेपालको कुन ताल "" पोखरी ""  मा पर्दछ ?  ",ढुध पोखरी
फेवा तालबाट निस्कने खोला पार्दि खोला हो भने रारा दहबाट निस्कने खोला कुन हो?   ,खत्याड
"""महेन्द्र प्रज्ञा पुरस्कार"" को राशी कति छ ?  ",१ लाख
नेपालको राष्ट्रयगानमा कति ओटा शब्द छन।  ,46
चेस खेलको सुरु कुन देशबाट भएको हो ?  ,India
लमजुंगका अन्तिम राजा कसलाई मानिन्छ ?  ,वीरमदन शाह
बढि महिला सैनिक भएको देशः   ,Israel
"BRICS मा पाँच राष्ट्र छन्। १ Brazil, २ Russia, ३ India, ४ China र पाँचौ राष्ट्र कुन हो ?  ",South Africa
एक Centimeter माटो को पत्र बन्न लाई सामान्यतया कति वर्ष लाग्छ ?  ,करिब 400 वर्ष
सबै भन्दा धेरै बाच्ने स्थल प्राणी कुन हो ?  ,कछुवा
Which is the Capital of Hungary?  ,Budapest
पृथ्वीमा जमिनको भाग कति प्रतिसत रहेको छ ?  ,29%
नेपालमा बगने महाकाली नदीलाई भारतमा के नदीले चिनिन्छ ?   ,शारदा
"कुन जतिको मिर्तुसस्कार गर्दा १०८ वटा बत्ती बाली ""म्याम्जा"" गर्ने प्रचलन छ ?  ",तामांड
Nelson Mandela कुन जनजाति का थिए ?  ,जोसा
"सबै भन्दा धेरै सम्मान, पदवी पाउने राजनेता मध्ये South Africa का प्रथम अश्वेत राष्ट्रपती Nelson Mandela पनी एक हुन्। उनले आफ्नो जीवनकाल मा कति पुरस्कार पाएका थिए ?  ",695
गणतन्त्र नेपालका प्रथम रास्ट्रपति को हुन् ?  ,राम बरण यादव
नेपालमा सर्बप्रथम रोप-वे निर्माण गराउने को हुन् ?  ,Chandra Shamsher
"""कानुनको अवज्ञा गर्नुनै राज्य को अस्तितित्वोलाई नै नकार्नु हो"" यो भनाइ कसको हो ?  ",Socrates
