Question,Answer1,Answer2,Answer3,Answer4,Correct
हाल राष्ट्रिय गौरव का आयोजना कति वटा छन् ?,२२,२०,२३,२१,
"१५६०० जना को क्षमता भएको क्रिकेट पार्क ""सबिना पार्क "" कहाँ पर्छ?","किंगस्टोन,  जमैका","लण्डन ,बेलायत","मिलन ,इटली","पेरिस, फ्रान्स",
अन्तर्राष्ट्रिय योग दिवस कहिले मनाउने गरिन्छ?,सेप्तेम्बेर २७,जुन २१,जुन २७,नोभेम्वर ४,
९ औ राष्ट्रिय खेलकुद प्रतियोगिता - २०७७  कुन प्रदेश मा आयोजना हुदैछ?,कर्णाली प्रदेश,गण्डकी प्रदेश,सुदुरपश्चिम प्रदेश,प्रदेश ३,
पहिलो पटक Credit Card प्रयोगमा  बैंक कुन हो ?,नबिल बैंक,हिमालयन बैंक,कुमारी बैंक,नेपाल बैंक लिमिटेड,
विश्वव्यापी भोक सूचकाङ्कमा ‘ग्लोबल हङ्गर इन्डेक्स’ २०१९ अनुुसार नेपाल कतिऔँ स्थानमा रहेको छ ?,७०औँ,७३औँ,७२औँ,७१औँ,
कीर्तिमानी पर्वतारोही सञ्जय पण्डितको निधन कहिले भयो ?,सन् २०१७ जून १६,सन् २०१६  जून १६,सन् २०१७ जून १७,सन् २०१६ जून १७,
आर्थिक सर्वेक्षण २०७५/०७६ अनुसार कुल संचालन मा रहेका ३७ सार्बजनिक सस्थां मध्ये कति वटा सस्था नाफा मा छन् ?,२६,२२,१९,२४,
नेपाल भारत संयुक्त आयोगको बैठकमा सहभागी भारतीय विदेशमन्त्री एसजयशंकर दुइ दिने  काठमाडौँ भ्रमणमा कहिले आएका थिए?,२०७६ भाद्र ३,२०७६ भाद्र  ५,२०७६ भाद्र ४,२०७६ भाद्र ६,
प्रधानमन्त्री स्वदेश वा विदेश भ्रमणमा रहेको अवस्थामा समेत भिडियो कन्फ्रेन्सिङलगायतका सूचना प्रविधिको प्रयोग गरेर मन्त्रिपरिषद्को बैठक बस्न सक्ने व्यवस्था कहिले गरिएको हो ?,विसं २०७६ भदौ ६,विसं २०७६ भदौ ५,विसं २०७६ भदौ ७,विसं २०७६ भदौ ४,
फोर्ब्स पत्रिकाको  रिपोर्ट २०१८ आनुसार बिश्वक दस शक्तिसाली मय्धे  # १ मा को छन्?,Jeff Bezos,Vladimir Putin,Donald Trump,Xi Jinping,
१३औ सग गमे- २०१९(काठमाडौँ -पोखरा) कति पदक वितरण गरिने भएको छ ?,१०५८,१२५०,११५३,१११५,
हाल नेपाल को संबिधानमा अनुसार कति प्रकारका अदालत हुनेछन।,१ प्रकार,३ प्रकार,२ प्रकार,४ प्रकार,३ प्रकार
"12 बण्डाल ,18 खण्डालको जिल्ला कुन हो ?",Chitwan,Surkhet,Jaleshwor,Nawalparasi,
Bhojpur जिल्लाको सदरमुकाम कुन हो ?,Bhojpur,Diktel,Khandbari,Charikot,
नेपालको सबै भन्दा ठुलो राष्ट्रिय निकुञ्ज कुन हो ?,Bardiya National Park,Chitwan National Park,Langtang National Park,Shey Phoksundo National Park,
सूर्यलाइ आफ्नो अक्षमा परिक्रमा गर्न कति समय लाग्दछ??,25 दिन 5 घण्टा,25 दिन 6 घण्टा,25 दिन 15 घण्टा,25 दिन 10 घण्टा,
बार्हकुने ताल कुन जिल्लामा पर्दछ ?,Rukum,Chitwan,Dang,Sarlahi,
Which is the Capital of Trinidad and Tobago?,Tashkent,Bangkok,Lusaka,Port of Spain,
"Which Continent is called ""Dark Continent"" ?",South America,Africa,Australia,Asia,
Kailali जिल्लाको सदरमुकाम कुन हो ?,Martadi,Chainpur,Silgadi,Dhangadi,
"चेपे नदीको मुहान नेपालको कुन ताल "" पोखरी ""  मा पर्दछ ?",ढुध पोखरी,पाच पोखरी,गोसाईकुण्ड,रारा ताल,
Seti अञ्चलमा नपर्ने जिल्ला कुन हो ?,Dadeldhura,Bhajhang,Kailali,Bajura,
सुर्य र पृथ्वी बिचको दुरी कति रहेको अनुमान गरिएको छ ?,१८ करोड ७१ लाख KM,१५ करोड १० लाख KM,१६ करोड ५५ लाख KM,१४ करोड ८८ लाख KM,
Which is the smallest and biggest district in Nepal?,Lalitpur & Dolpa,Bhaktapur & Dolpa,Bhaktapur & Mugu,kathmandu & Dolpa,
Arghakanchi जिल्लाको सदरमुकाम कुन हो ?,Sandhikharka,Tansen,Tamghas,Parasi,
एशिया महादेशमा भूपरिबेस्ठित (Landlock) राष्ट्रहरु कति छन् ?,12,10,7,9,
तल दिएको मध्य Narayani अञ्चलमा पर्ने जिल्ला कुन हो ?,Gorkha,Tanahun,Nawalparasi,Chitwan,
Mid-Western Development Region मा नपर्ने अञ्चल कुन हो ?,Bheri,Seti,Rapti,Karnali,
सगरमाथा खुम्जुंग गा वि स को कुन कति नम्बर वडामा पर्दछ ?,4,8,2,3,
तल दिएको मध्य Narayani अञ्चलमा नपर्ने जिल्ला कुन हो ?,Bardiya,Bara,Parsa,Makawanpur,
इस्लाम धर्मको ग्रन्थ पुरानमा  कति आध्य छ ?,212,114,111,113,
सिद्धार्थ गौतम (भगवान बुद्ध) को श्रीमतीको नाम के हो ?,मेनका,उर्मिला,यसोधरा,सिता,
भगवान गौतम बुद्धको मावली 'देवदह' कुन जिल्लामा पर्दछ ?,Nawalparasi,Rupandehi,Kapilvastu,Palpa,
अंशुबर्माले कति वर्ष शासन गरे ?,४८ वर्ष,१० वर्ष,१५ वर्ष,१६ वर्ष,
२०१८ बैशाख १ गते सहिद गेट को उद्घाटन कसले गरेका थिए ?,King Mahendra,BP Koirala,Krishna Prasad Bhattarai,Crown Prince Birendra,
त्रिमूर्ति निकेतनद्दारा पाँच लाख रुपियाँ राशीसहितको शताब्दी पुरुषको सम्मान कसलाई प्रदान गयो ?,सत्यमोहन जोशी,पुरुषोतम सम्सेर जबरा,मोदनाथ पस्रित,माधव घिमिरे,
"बौद्ध धर्मको प्रसिद्ध स्थान ""बिक्रम्सीला""भारतको कुन राज्यमा पर्दछ ?",Uttar Pradesh,Bihar,Jharkhand,Uttranchal,
तामाङ जातिको मुख्य वाद्ययन्त्र कुन हो ?,मुरेली,डमरु,डम्फु,मादल,
भगवान Gautam Buddha को जन्म भएको कति दिनमा उनको आमाको मृत्यु भएको थियो?,९ दिन,५ दिन,२ दिन,७ दिन,
२०६८ सालको मदन पुरस्कार कुन कृतिले प्राप्त गर्यो ?,मेरो जीवनका पानाहरु,जिवन काँडा कि फुल,घामका पाइलाहरु,सेतो धर्ति,
कसलाई नेपालका युवा कवि  भनिन्छ ?,माधब घिमीरे,मोतीराम भट्ट,भानुभक्त  आचार्य,लेखनाथ  पौडेल,
"France का जनता हरु ""Madame Deficit"" भनेर कसलाई सम्बोधन गर्थे ?",Marie Antoinette,Mary of Madonna,Maria Theresa,Lady Love Ada,
सबै भन्दा धेरै मदन पुरस्कार पाउने को हुन् ?,सत्यमोहन जोशी,बैरागी कहिला,सिद्धिचरण श्रेष्ठ,रुप सिंह थापा,
पृथ्वीनारयण शाह मिचाखानाका कति औ पुस्तामा गोरखाका राजा भए ?,५ औ पुस्तामा,१२ औ पुस्तामा,८ औ पुस्तामा,१० औ पुस्तामा,
Who was the first poet of world?,Homer,Sukarat,Bhanubhakta,Rabindranath tagore,
बुद्ध धर्ममा भिक्षु जीवनको सुरुवातलाई के भनिन्छ ?,स्रवज्या,भ्रबज्या,प्रबज्या,म्रबज्या,
मैथीली भाषाको पहिलो साहीत्यक कृति कुन हो ?,ममाघर,इजोत,लक्ष्मन रेखा,सेहन्त,
आत्मा अमर छ जसका लागी दु:ख प्रकट गर्नु ब्यर्थ छ र संचारीत्रिक व्यक्तिका लागि परलोक मा पनि आनन्द छ। यो भनाइ कसको हो?,Plato,Aristotle,Confucius,Socrates,
मकवानपुर विजय कहिले भयो ?,१८१९ भाद्र ६,१८१९ भाद्र १०,१८१९ भाद्र ५,१८१९ भाद्र ९,
विश्वमा सबैभन्दा धेरै जनसंख्या भएको देश चिन हो भने धेरै मतदाता भएको देश कुन हो ?,USA,Indonesia,China,India,
हाल नेपालमा निजामती सेवामा ८० हजार भन्दा बढी कर्मचारी रहेका छन्। ति कर्मचारी मध्ये कति प्रतिसत कर्मचारी उपत्यका भित्रै सेवारत छन् ?,50 %,20 %,40 %,30 %,
मानिस स्वभावत : राजनीतिक प्राणी हो।  यो भनाइ कसको हो ?,प्लेटो,अरस्तु,कोन्फुसुस,कौटिल्य,
न्याय परिसदमा जम्मा कतिजाना सदस्यहरु रहन्छन ?,६,५,७,३,
बहादुर शाहको समयमा नेपालको पस्चीम सिमाना कहासम्म पुगेको थियो ?,स्याङ्जा,पाल्पा,कुमाउ गदवाल,पर्वत,
दासत्वमोचन गराउने प्रधानमन्त्रि को हुन् ?,Dev Shamsher,Bhim Shamsher,Mohan Shamsher,Chandra Shamsher,
राणाकालमा जिल्लाको प्रमुख प्रसासक को पद के हुन्थ्यो ?,सुब्बा,देथात्ता,विचारी,जिम्मवाल,
"""कानुनको दृष्टिमा सबै व्यक्ति बराबर हुन्छन"" भन्ने सिद्धान्तलाई ब्यवहारमा उतारेर देखाउने महान दर्सनिक को हुन् ?",Confucius,Chanakya,Mahatma Gandhi,Socrates,
कोत पर्व हुदा नेपालको प्रधानमन्त्री को थिए ?,Fathe jung shah,Dev samser,Bhimsen Thapa,Jungbahadur Rana,
"नेपालको संबिधान ,२०१९ कहिलेदेखि लागु भएको हो ?",वि.स.२०१९ पौष १५,वि.स.२०१९ पौष १,वि.स.२०१९ पौष २५,वि.स.२०१९ पौष ३०,
सन् १८९३ मा वकालती पेसाकै सिलसिलामा महात्मा गान्धी कुन देश गएका थिए ?,Bangladesh,United Kingdom,Pakistan,South Africa,
राणाकालमा ग्राम प्रसासनअन्तर्गत के के पर्दथे ?,गाऊ,माथिका सबै,मौजा,थुम,
Abraham Lincoln अमेरिकाका कतिऔ रास्ट्रपति हुन् ?,13,18,22,16,
उपभोक्तामाथि सिधै लगाईने कारलाई के भनिन्छ ?,Specific Duty,प्रत्क्ष्य कर,कुनै पनि होइन,अप्रत्क्ष्य कर,
United Nations को आब्वाहन अनुरुप अन्य मुलुक सरह नेपालले पनि कहिले देखि आप्रवासन दिवस मनाउना थालेको हो ?,2002 AD,2005 AD,2000 AD,2010 AD,
सार्बजनिक संस्थानहरु मध्ये सेवा क्षेत्रअन्तर्गत रहेका संस्थानहरुको संख्या कति छ?,8,6,3,7,
देहायको कुन ठाउमा नेपालको वाणिज्य दुतावास छ ?,हङकङ,ल्हासा,माथिका सबै,कोलकत्ता,
निजिकारणका लागि दबाब दिने तत्व कुन हो ?,Economic Forces,माथिका सबै,Pragmatic Forces,Populist Forces,
U.N.O. को शान्ति कायम गर्ने सेनालाई के भनिन्छ ?,Black Halmet,Blue Halmet,Green Halmet,Red Halmet,
अन्तराष्ट्रिय अपांगता दिवश कहिले मनाईन्छ ?,May 15,Feb 27,Dec 3,April 18,
अर्थशास्त्रमा लगानीको सिद्धान्त कुन अर्थशास्त्री संग सम्बन्धित छ ?,Paul Samuelson,Max Weber,David Ricardo,Adam Smith,
"भू - तत्व, हावा पानी र बनस्पति को आधार मा नेपाल मा पाइने माटो लाई कति भागमा वर्गीकरण गरिएको छ ?",5,4,6,7,
नेपालले सबै भन्दा बढी गलैचा कुन देशमा निर्यात गर्छ ?,France,Australia,England,Germany,
विश्वको सबैभन्दा पुरानो कृषि अन्न कुन हो ?,कोदो,मकै,भटमास,गहुँ,
लिमिटेड कम्पनी भन्नाले के बुझिन्छ ?,एक वा एक भन्दा बढी व्यक्तिको दायित्त्वमा स्थापित कम्पनी,एक जना मात्र व्यक्तिको दायित्त्वमा स्थापित कम्पनी,नेपाल सरकारको दायित्त्वमा स्थापित कम्पनी,शयेरहोल्डर हरुको दायित्त्वमा स्थापित कम्पनी,
पुर्वान्चल ग्रामिण बैंक को स्थापना कहिले भएको थियो ?,BS 2020,BS 2030,BS 2050,BS 2040,
नेपालमा बिद्युत उत्पादन हुन सक्ने सम्भावित क्षेमता कति हो ?,"65,000 MW","73,000 MW","90,000 MW","83,000 MW",
नेपालमा कृषि गणना कति कति वर्षमा गरिन्छ ?,10 / 10,8 / 8,5 / 5,3 / 3,
हवाईसेवा कुन उद्योगअन्तर पर्दछ ?,मझौला उद्योग,ठुला उद्योग,सेवा उद्योग,साना उद्योग,
सार्वजनिक सस्थाहरुमध्ये वितिय क्षेत्रअन्तरगत रहेको संस्थानहरुको संख्या कति छ ?,३,६,८,७,
नेपालको उद्योगका संस्थापक कुन राणा प्रधानमन्त्रीलाई भनिन्छ ?,Juddha Shumsher,Bhim Shumsher,Chandra Shumsher,Bir Shumsher,
हाल विश्वमा कति देशमा 'पाटे बाघ' पाइन्छ? (Data 2014),4,8,5,3,
HIV AIDS सर्वप्रथम कहाँ देखा परेको थियो ।,South Africa,Germany,Ghana,United States of America,
Water Frame नामक जलशक्ति बाट चल्ने चर्खा को निर्माण कसले गरेका हुन् ?,Michael Faraday,Alexander Graham Bell,James Watt,Richard Arkwright,
सबै भन्दा पछि स्वतन्त्रता प्राप्त गर्ने SAARC राष्ट्र कुन हो ?,India,Bangladesh,Bhutan,Pakistan,
Koshitappu वन्यजन्तु आराक्ष्य क्षेत्रको क्षेत्रफल कति रहेको छ ?,125 Sq. KM,135 Sq. KM,115 Sq. KM,175 Sq. KM,
Spinning Jenny मेसिनको आविस्कार कसले गरेका हुन् ?,Michael Faraday,James Hargreaves,John Kay,Alexander Graham Bell,
How long does it take Sunlight to reach the Earth?,8 minutes 50 seconds,9 minutes 30 seconds,8 minutes 20 seconds,9 minutes 42 seconds,
What is the extension of Microsoft Excel?,XLS,XIV,EXL,XLV,
UNHCR को स्थापना कहिले भएको थियो ?,सन्   १९६२,सन् १९५१,सन् १९५३,सन् १९५५,
पौष्टिक पदार्थ कति प्रकारका हुन्छन ?,6,8,10,12,
Shivapuri राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,144 Sq. KM,155 Sq. KM,166 Sq. KM,122 Sq. KM,
अमेरिकी गोप्य कुटनैतिक दस्ताबेजलाइ सार्वजनिक गर्ने विकिलिक्स संस्थापक जुलियस अन्साज कुन देशका नागरिक हुन् ?,बेलायत,स्विडेन,स्पेन,अष्ट्रेलिया,
Silly Point कुन खेलमा प्रयोग गरिने शब्द हो ?,Volleyball,Cricket,Football,Hockey,
दुध मा कती प्रतिसत बोसो हुनु उपयुक्त मानिन्छ ? (According to FAO),4.8 %,3.5 %,5 %,2 %,
FLU  'एक प्रकारको रुघाखोकी' सर्ने मध्यम कुन हो ?,गुलियो पदार्थबाट,चराचुरुंगीहरुबाट,काचो गाई भैसीको दुधबाट,खानेकुराहरुबाट,
"४००० दर्शक अटाउने क्षमता भएको ""ANFA Complex "" कुन देशको सहयोग मा निर्माण भएको हो?",America,FIFA's Goal Project,Japan,Japan,
हाल सम्म नेपाल सग हवाई सम्झौता भएका राष्ट्र कति पुगेको छ?,४१,४०,३८,३९,
"""खोलौ बैंक खाता राष्ट्रिय अभियान"" को सुरुवात देखि भएको हो?",बि स  २०७६  बैशाख १६,बि स  २०७५ बैशाख २,बि स  २०७६  जेष्ठ १,बि स  २०७६  बैशाख १,
भारतले हालै नयाँ राजनीतिक नक्सा कहिले प्रकाशित गरेको हो ?,२०१९ नोभेम्बर ५,सन् २०१९ नोभेम्बर २,सन् २०१९ नोभेम्बर ४ सन्,सन् २०१९ नोभेम्बर ३,
संयुक्त राष्ट्र संघ शान्ति स्थापना गर्न सबैभन्दा बढी खर्च गरेको मुलुक कुन हो?,लेबनाल,कम्बोडिया,बुरुण्डी,हाइटी,
सहि उतर छान्नुहोस् १ प्रधान कार्यालय द हेग सहरमा रहेको अन्तराष्ट्रिय न्यायालय मा 9  जना न्यायधिश रहने व्यवस्था छ। २ नेपाल संयुक्त राष्ट्र संघ को आर्थिक तथा सामाजिक परिषद को २ पटक सदस्य भएको छ ? ३ नेपाल ले संयुक्त राष्ट्र संघ को सदस्यको लागि प्रथम पटक आबेदन दिंदा रसिया ले अस्विकार गरेको थियो।,सबै ठिक,३ मात्र ठिक,१ र २ मात्र ठिक,२ मात्र ठिक,
बिश्व फूटबल को सबैभन्द प्रतिष्ठित अवार्ड बालोन डी’ओर अवार्ड -२०१९  कसले जिते ?,भिर्गिल भान डायक,लियोनल मेस्सी,"क्रिस्टियानो रोनाल्डो,",साडियो माने,
"टेनिश खेल विमब्लेडन (Wimbledon) को उपाधि सबैभन्दा बढी ""लगातार"" जित्ने खेलाडी को हुन् ?",Pete Sampras,Roger Federer,William Renshaw,Novak Djokovic,
नेपाल मा कतिवटा गाउँ पालिका छन् ?,४६०,६४०,५६०,५४०,
लोयी Institute ले  २०१९ अनुसार संसार को सबैभन्दा बढी कुटनीतिक समन्ध स्थापित गर्ने देश कुन हो?,चिन,बेलायत,फ्रान्स,अमेरिका,
यस वर्ष (विसं २०७६) को चक्रपाणि स्मृति पुरस्कार कसलाई प्रदान गरियो ?,बालसाहित्यकार एवम् जीवनीकार गोपाल पराजुली,वैरागी काइँला,श्री दुर्गा बराल (वात्स्यायन),योगेशराज,
"नेपालको कुन जिल्ला मा ""सुकिलुम्बा विमानस्थल"" निर्माण हुदै छ ?",Nawalparasi,Jhapa,Chitwan,Illam,
प्रसिद्ध पर्यटकिय स्थल 'घान्द्रुक' कुन जिल्लामा पर्दछ ?,Kaski,Gorkha,Pyuthan,Lamjung,
Which is the smallest Zone in Nepal?,Bheri,Lumbini,Mahakali,Narayani,
नेपालको भुकम्प पिडित लाई उद्धार गर्न आएको कुन देश को सैनिक जहाज दुर्घटनामा परेको थियो ?,India,Israel,China,America,
Bheri अञ्चलको सदरमुकाम कुन हो ?,Dunai,Nepalgunj,Manma,Guleria,
Solukhumbu जिल्लाको सदरमुकाम कुन हो ?,Taulihawa,Beni,Salleri,Triyuga,
Central Development Region मा पर्ने अञ्चल कुन हो ?,Koshi,Mechi,Narayani,Rapti,
Lumbini अञ्चलमा कती ओटा जिल्लाहरु छन् ?,3,4,6,5,
उच्च हिमाल हरुको देश भनेर कुनलाई चिनिन्छ ?,Bhutan,Switzerland,Germany,Nepal,
"सात ओटा वडा को एकै गाउँ भएको गोर्खाको कुन गाउँ हो, जुन गाउँ गोर्खाको नमुना पर्यटकीय गाउँको रुपमा पनि चिनिन्छ ?",आबु खैरेनी,आरुघाट,बारपाक,मनकामना,
Far Western Development Region मा कति ओटा जिल्लाहरु छन् ?,15,9,16,14,
Which district has the highest no. of Airports in Nepal?,Okhaldhunga,Chitwan,Solukhumbu,Kathmandu,
त्रिशुलीको लम्बाई कति रहेको छ ?,350 km,263 km,470 km,550 km,
शनि ग्रहको सबै भन्दा ठुलो उपग्रहको नाम के हो ?,Lapetus,Mimas,Rhea,Titan,
Narayani अञ्चलको सदरमुकाम कुन हो ?,Gaur,Bharatpur,Kalaiya,Birgunj,
Dhading जिल्लाको सदरमुकाम कुन हो ?,Kathmandu,Malekhu,Dhadingbesi,Lalitpur,
झोलुङ्गे पुलको जिल्ला भनेर कुन जिल्लालाई चिनिन्छ ?,Baglung,Tanahu,Gorkha,Lamjung,
मेची अञ्चलको कुन जिल्लाले भारत र चीन दुवै छुन्छ ?,Illam,Taplejung,Jhapa,Panchthar,
पशुपतिनाथमा चादीका चार ढोका राख्न लगाउने प्रधानमन्त्री को हुन् ?,जुद्द सम्सेर,जंगबहादुर,चन्द्र सम्सेर,भीमसेन थापा,
चेस खेलको सुरु कुन देशबाट भएको हो ?,India,China,Nepal,USA,
रामले सीतालाई त्यागे पछि उनले कुन ऋषिको आश्रममा शरण लिएकी थिइन ?,आत्रेय,बिस्वामित्र,बाल्मिकी,Basistha,
भगवान Gautam Buddha ले कुन ठाउँ मा तपस्या गरेर ज्ञान प्राप्त गरेका थिए ?,भारतको गया,भारतको काशी,भारतको बनारस,लुम्बिनी,
अरस्तु (Aristotle) कसका चेला थिए ?,Jesus Christ,निकोमेसस,सुकरात (Socrates),प्लेटो (Plato),
पौगम्बर मोहमदको जन्म कहाँ भएको हो ?,Saudi Arabia,Qatar,UAE,Iran,
अंशुबर्मा कुन बंशका थिए ?,शाही,सोमवंशी,मल्ल,ठकुरी,
नरभूपाल शाहका कति  रानीहरु थिए ?,९,५,७,४,
भारतको Chennai मा हालै सम्पन 'मिस एसिया २०१५ 'प्रतियोगिताको उपाधी जितने युवती को हुन् ?,ग्रिष्मा बसनेत,दिपिका पदूकोंन,काजल अग्रवाल,कनिका कपूर,
लम्जुङ् र कास्की कसको नायबी कालमा एकीकृत नेपालमा मिलाइएको थियो ?,बहादुर थापा,सुबर्ण प्रभा,राजेन्द्र लक्ष्मी,ललित त्रिपुरा सुन्दरी,
योगी नरहरी नाथको बाल्यकालको नाम ___________ हो।,बिरबल सिँह थापा,बल बिर सिँह थापा,बिर सिँह थापा,बल बिर सिँह,
राजा त्रिभुवनको शुभराज्याभिसेक कहिले भएको  थियो ?,वि.स. १९६७,वि.स. १९६९,वि.स. १९६६,वि.स. १९६८,
गौरवमय क्रान्ति (Glorious Revolution) को समयमा बेलायत का राजा को थिए ?,Elbert I,Charles II,John,James II,
युवा कबि भनेर कसलाई चिनिन्छ ?,यज्ञराज  ढकाल,धर्मराज थापा,सिद्धिचरण श्रेष्ठ,मोतीराम भट्ट,
भानुभक्त आचार्यको हजुरबुवाको नाम श्रीकृष्ण आचार्य थियो भने बुवाको नाम के थियो ?,रामकृष्ण आचार्य,धर्मभक्त आचार्य,रामगोपाल आचार्य,धनन्जय आचार्य,
तपस्या गरी प्रण त्याग गर्ने विचारले अमरसीह थापा कतातिर लागे ?,गोसाईकुण्ड,देवघाट,देवीघाट,काठमाडौँ,
नेपालको पहिलो धार्मीक शहिद को हुन् ?,पं सुवर्ण सुवेदी,पं दिनबन्धु पोखरेल,पं नारायण प्र पोखरेल,मोहम्मद इस्तिफाक,
रंगोली बाट Morang जिल्लाको सदरमुकाम Biratnagar कहिले सारिएको हो ?,BS 1969,BS 1958,BS 1938,BS 1971,
' भट्टारक ' कसलाई भनिन्थ्यो ?,प्रधानसेनापती,प्रसासक,युबराज,राजा,
सरकारले वि.सं २०७१ मंसिर १६ गते कति नयाँ नगरपालिका घोषणा गरेको छ ?,15,47,57,61,
महात्मा गान्धीको अदर्स के थियो ?,"Democracy is to the people , by the people and for the people",Ahimsa and truth are two lungs,Knowledge is virtue and virtue is knowlegde,साधा जीवन उच्च विचार,
Who is the first lady Speaker of Nepal?,Onsari Gharti Magar,Hisila Yami,Sujata Koirala,Bidhya Devi Bhandari,
नेपालको गोर्खाली सैनिक र गडवालबिच कहिले सान्ति सम्झौता भएको थियो ?,सन् १७९०,सन् १७९१,सन् १९९२,सन् १९९३,
Who shifted Durbar High School from Narayanihiti and built the current building near Rani Pokhari and started the classes?,Bir Sumsher Ja.Ba.Ra.,Ranodip Singh Kunwar Rana,Dev Shumsher Ja.Ba.Ra.,Chandra Shumsher Ja.Ba.Ra.,
डा. शाम सास्त्री ले कौटिल्य को अर्थशास्त्र लाई कहिले Indian Antiquery नामक पत्रिकामा English मा Translate गरि प्रकासित गरेका थिए ?,1901 AD,1908 AD,1905 AD,1903 AD,
प्रधान न्यायाधिस बाट प्रधानमन्त्री हुने व्यक्ति को हुन् ?,Khilraj Regmi,Sher Bahadur Deuba,Surya Bahadur Thapa,Subash Nemwang,
पहिलो राणा प्रधानमन्त्री को हुन् ?,Mohan Shamsher Ja Ba Ra,Bir Shamsher Ja Ba Ra,Ranodip Singh Kunwar Rana,Jang Bahadur Rana,
व्यवस्थापिका संसद हुन कति वर्ष उमेर पुरा भएको हुनुपर्दछ ?,२२,२४,२६,२५,
तल दिएका मध्ये को नेपाली सेनाको चिफ होइन ?,Gaurav Shumsher Ja Ba Ra,Pyar Jung Thapa,Rookmangud Katawal,Kul Bahadur Khadka,
अरस्तुको रचनालाई Oxford University ले कति खण्डमा प्रकासित गरेको छ ?,१३ खण्ड,११ खण्ड,१० खण्ड,१२ खण्ड,
Abraham Lincoln जन्म अमेरिकाको कुन राज्य मा भएको थियो ?,Maryland,California,Kentucky,Texas,
अन्तर्राष्ट्रिय पर्वतारोहण उद्यान नुवाकोटको ककनीमा स्थापना गरिएको छ भने जैविक प्रयोगशाला कुन ठाउँमा रहेको छ ?,Nawalparasi,Lalitpur,Janakpur,Chitwan,
एसियाली विकास बैंकको कार्यालय कहाँ छ ?,वसिङटन डी.सी,बैंकक,मनिला,जेनेभा,
नेपाल सरकारले ट्रेजरी बिलको निस्कासन कहिले बाट गरेको थियो ?,BS 2018,BS 2022,BS 2021,BS 2020,
U.N.O को स्थापना कहिले भएको हो?,24 Jan. 1946,24 Oct. 1945,10 Oct. 1947,02 Jun. 1940,
कुनै पनि राष्ट्रको सरकार ले लिएको ऋणलाई के भनिन्छ ?,सार्बजनिक ऋण,बैदेसिक ऋण,सह-कार्य ऋण,सरकारी ऋण,
Deficit Financing (घाटा बजेट) कसको सिद्दान्त हो ?,Rosenstein Rodan,J. M. Keynes,Adam Smith,David Ricardo,
दशौ पन्च बर्षिय योजना कहिले देखि सुरु भएको हो ?,2059 BS,2060 BS,2057 BS,2058 BS,
सन् १९५१ मा नेपाललाई पहिलो पटक बैदेसिक सहायता दिने राष्ट्र कुन हो ?,China,United States of America,France,Japan,
"अर्थशास्त्रमा मुद्रा र ज्यालाको सम्बन्ध देखाउने एउटा प्रसिद्ध बक्ररेखा छ, त्यसलाई के भनिन्छ?",ज्याला बक्ररेखा,Peril Point,Phillips Curve,सिमान्त रेखा,
नेपालमा सर्वप्रथम कहिले देखि उद्योग स्थापना भएको पाइन्छ ?,वि.स.१९९५,वि.स.१९९२,वि.स.१९९४,वि.स.१९९३,
पर्यटन विकास बोडको अध्यक्षमा को रहन्छ ?,सचिब,कुनै पनि होइन,प्रधानमन्त्री,पर्यटन मन्त्रि /राज्यमन्त्री,
नौं सय मेगावाट क्षमताको अरुण तेस्रो जलविद्दुत आयोजना निर्माणका लागि भारतिय कम्पनी सतलज जलविद्दुत निगमसँग परियोजना विकास सम्झौता कहिले भएको थियो ?,2071 Mangshir 9,2071 Kartik 15,2070 Magh 8,2071 Baishak 8,
Bank of the Year 2014 is..........?,Global IME Bank,Nabil Bank,Nepal Investment Bank,Standard Charted Bank,
हाल नेपालमा कति प्रकारका ऋण पत्रहरु प्रयोगमा ल्याइएको छ ?,5 प्रकार,3 प्रकार,7 प्रकार,2 प्रकार,
Tied Loan भन्नाले के बुझिन्छ ?,ससर्त ऋण,घरायसी ऋण,कर्जा चुक्ता,ब्यबसायिक ऋण,
United Nations बाट सबै आप्रवासी कामदार तथा तिनीहरुको परिवारको सदस्यको अधिकार सम्बन्धि अन्तराष्ट्रिय महासन्धि कुन वर्ष को December 18 तारिख मा पारित भएको थियो ? त्यस पश्चात December 18 लाई अन्तराष्ट्रिय आप्रवासन दिवस मनाउन थालिएको हो ?,1985 AD,1995 AD,1990 AD,1992 AD,
Which National Park in Nepal receives the highest no. of Tourist?,Bardiya National Park,Sagarmatha National Park,Langtang National Park,Chitwan National Park,
Caroline Wozniacki is related with which Game?,Football,Tennis,Cricket,Volleyball,
Maria Sharapova खेल संग सम्बन्धित छिन् ?,Swimming,Table Tennis,Tennis,Womens Cricket,
अन्तराष्ट्रिय ओजोन तह संरक्षण दिवस कहिले मनाईन्छ ?,April 21,September 16,March 15,July 21,
James Hargreaves ले Spinning Jenny को आविस्कार कहिले गरेका थिए ?,1760 AD,1770 AD,1765 AD,1775 AD,
काठमाडौँ उपत्यका बाट दैनिक 650 Metric Ton फोहोर उत्पादन हुन्छ । यस मध्ये काठमाडौँ उपत्यका का अस्पताल बाट कति प्रतिसत फोहर निस्किन्छ ? (According to data of 2013 AD),20 %,15 %,12 %,10 %,
