Question,Correct
Koshitappu वन्यजन्तु आराक्ष्य क्षेत्रको क्षेत्रफल कति रहेको छ ?,175 Sq. KM
आठौँ राष्ट्रिय कर दिवस (२०७६) को नारा के हो ?,"""स्वच्छ कर प्रशासन :विकास र सुशासन"""
बङ्गलादेशका राष्ट्रपति मोहम्मद अब्दुल हमिद नेपालको चारदिने औपचारिक भ्रमणका सन्र्दभमा कहिले नेपाल आउनुभएको हो ?,विसं २०७६ कात्तिक २६
विश्व को सबैभन्दा पहिलो र  छोटो  लिखित  संबिधान कुन हो?," अमेरिकाको संबिधान सेप्तेम्बेर १७, १७८७"
नेपालको भुकम्प पिडित लाई उद्धार गर्न आएको कुन देश को सैनिक जहाज दुर्घटनामा परेको थियो ?,America
संसारको सबै भन्दा ठुलो बरन्डा कुनलाई मानिन्छ?,रामेशोरम मन्दिर India
नेपालमा सरदर बार्षिक बर्षा कति हुन्छ ?,करिब २५० अर्ब घनमिटर
नेपालमा सर्बप्रथम रेडियो सेट राख्ने को हुन् ?,Juddha Shamsher
भगवान Gautam Buddha को जन्म भएको कति दिनमा उनको आमाको मृत्यु भएको थियो?,५ दिन
Confucius धर्मको उदय कहाँ भएको थियो?,China
महान दार्सनिक Confucius को मृत्यु कहिले भएको थियो ?,ईसापुर्व ४७९
महात्मा गान्धीको हत्या कहिले भयो ?,सन् १९४८ जनवरी ३०
नौं सय मेगावाट क्षमताको अरुण तेस्रो जलविद्दुत आयोजना निर्माणका लागि भारतिय कम्पनी सतलज जलविद्दुत निगमसँग परियोजना विकास सम्झौता कहिले भएको थियो ?,2071 Mangshir 9
सन् २०१५ को Cricket विश्वकप मा कुन देशलाई हराएर अस्ट्रेलिया ले विश्वकप जितेको थियो ?,New Zealand
सरकारले इबोला संकमित बिरामीको उपचारमा संलग्न नेपाली स्वास्थ्यकर्मीलाई इबोला संक्रमण भई मृत्यु भएमा आश्रित परिवारलाई क्षतिपूर्तिस्वस्प कति रकम उपलब्ध गराउने व्यवस्था गरेको छ ?,25 Lakh
उखु खेतिका लागि कुन प्रकारको माटो उपयुक्त हुन्छ ?,दोमट माटो
अमेरिकाका पहिलो राष्ट्रपति जर्ज वासिङ्टन  ले आफ्ना सैनिक संग खेलेको खेल कुन हो?,Rounder/Baseball
तल दिएको मध्य कुन जिल्ला सगरमाथा अञ्चलमा पर्दैन ?,Sarlahi
Mid-Western Development Region मा कति ओटा अञ्चल छन् ?,3
कुन ग्रहमा वायुमण्डल छैन ?,Mercury
"सर्वप्रथम नेपालमा "" राहादानीको "" व्यवस्था कसको पालामा भएको थियो ?",भिमसेन थापा
शिवदेव प्रथमका जेष्ठ सुपुत्र अंशुवर्माको मृत्यपश्चात राजगुद्दीमा आशिन भै महाराजधिराज पदवी धारण गर्ने को हुन ?,उद्यदेव
हिन्दु धर्मअनुसार बुद्धलाई बिष्णुका दश अबतारमध्ये कति औ अबतार मानिन्छ ?,९
Who shifted Durbar High School from Thapathali Durbar to Charburja Durbar to Seto durbar and then to Narayanhity Durbar and opened for high class government officers as well?,Ranodip Singh Kunwar Rana
Abraham Lincoln ले कहिले देखि वकालती पेशा सुरु गरेका थिए ?,1836 AD
सिहदरबारको सिलान्यास कसबाट भएको थियो ?,Chandrasamser
क्यारेट शब्द कुन बस्तु संग प्रयोग हुन्छ ?,सुन
कृषि उत्पादन को लागि उतम माटो कुन हो ?,पाँगो माटो तथा तलैया माटो
What is the full form of WWW?,World Wide Web
Silly Point कुन खेलमा प्रयोग गरिने शब्द हो ?,Cricket
नेपाल विज्ञान तथा प्रविधि प्रज्ञाप्रतिष्ठान (नास्ट) ले विदेशमा रहेका नेपाली वैज्ञानिकको ज्ञान र सीपलाई स्वदेशमा सदुपयोग गर्ने उद्देश्यसाथ सञ्चालन गर्न थालेको कार्यक्रम कुन हो ?,ब्रेन पुलिङ
नेपालको तराई क्षेत्रमा कुन माटो पाईएको छ ?,पागो माटो
Lumbini अञ्चलमा कती ओटा जिल्लाहरु छन् ?,6
Bhajhang जिल्लाको सदरमुकाम कुन हो ?,Chainpur
मैथीली भाषाको पहिलो साहीत्यक कृति कुन हो ?, ममाघर
पासांङ् चुलिको उचाई कति मिटर रहेको छ ?,७३५१ मि
व्यवस्थापिका संसद हुन कति वर्ष उमेर पुरा भएको हुनुपर्दछ ?,२५
न्याय परिसदमा जम्मा कतिजाना सदस्यहरु रहन्छन ?,५
बाराक ओबामा अमेरिकाको कति औ रास्ट्रपति हुन् ?,56
नेपाल सरकारले नागरिक बचत पत्र कहिले बाट प्रयोग मा ल्याएको हो ?,BS 2058
आन्तरकि हवाई यात्रु ले तिर्दै आएको विमानस्थल प्रयोग शुल्क (Airport Tax) कहिले देखी मुलुकभर टिकटमै समाबेश गरिएको हो ?,"Magh 1, 2070 BS"
अन्य माटोको तुलनामा जैविक अवशेस कुन माटो मा कम पाईन्छ ?,बलौटे पत्थरिलो माटो
Who is the inventor of typewriter machine?,Christopher Latham Sholes
यौवन अवस्था कति वर्षदेखि सुरु हुन्छ ?,१३
प्रधानमन्त्री स्वदेश वा विदेश भ्रमणमा रहेको अवस्थामा समेत भिडियो कन्फ्रेन्सिङलगायतका सूचना प्रविधिको प्रयोग गरेर मन्त्रिपरिषद्को बैठक बस्न सक्ने व्यवस्था कहिले गरिएको हो ?,विसं २०७६ भदौ ४
 नेपाल संयुक्त राष्ट्र संघ को आर्थिक तथा सामाजिक परिषद को कति पटक सदस्य भएको छ ?,३ पटक
भोटमा मूल भएका नेपालका नदीहरु कति वोटा छन् ?,6
Which is the smallest and biggest district in Nepal?,Bhaktapur & Dolpa
नेपलको पहिलो प्रधानमन्त्री कसलाई मानिन्छ ?,भिमसेन थापा
गौरवमय क्रान्ति (Glorious Revolution) को समयमा बेलायत का राजा को थिए ?,James II
कौटिल्य को अर्थशास्त्रमा कती श्लोक हरू रहेका छन् ?,6000
Who established Durbar High School and started schooling from his Palace?,Jung Bahadur Kunwar Rana
अन्तराष्ट्रिय मुद्रा कोषको [प्रधान कार्यालय कहाँ छ ?,वसिङटन डी.सी
उपभोक्ता माथि सिधै लगाइने कारलाई के भनिन्छ ?,प्रत्यक्ष कर
माइती नेपाल कुन कामको लागि बढी प्रख्यात छ ?,चेली-बेटी बेचबिखनमा रोकथाम
What is the name of the aircraft sent by America for the research in Jupiter?,Pioneer 10
अविष्कार केन्द्र को स्थापना कहिले भएको हो ?, बि स २०७६ कार्तिक १
सर्बप्रथम कुन 'अफ्रिकी देश' वोर्ल्ड कप फूटबल का लागि छनोट भएको थियो?,इजिप्ट
How many districts are there in Koshi Zone?,6
Dadeldhura जिल्लाको सदरमुकाम कुन हो ?,Dadeldhura
क्षेत्रफल को आधार मा सबै भन्दा ठुलो देश कुन हो ?,Russia
समुद्री सतहबाट सगरमाथाको उचाइ पत्ता लगाउने देश कुन हो??,Italy
शेर्पाहरुले लगाउने छालाको घुडा सम्म आउने जुत्तालाई के भनिन्छ ?,दोचा
शखघर सख्वा कुन जातिका व्यापारी थिए ?,खुद्र
संबिधानसभा मा नेपाल सरकार (मन्त्रिपरिषद) ले मनोनित गर्ने सदस्य संख्या कति हो ?,26
चाणक्यले राज्य को प्रमुख अंग के लाई मानेका छन्?,राजा
"मनुष्यहरु को निवास भएको भुमि पनि अर्थ हो, भुमि कमाउने, रक्षा गर्ने उपाए हरु बनाउने शास्त्रलाई नै अर्थशास्त्र भनिन्छ।यो भनाई कसको हो?",चाणक्य
नेपालमा कति प्रजातिका जडिबुटीहरु भेटिएका छन् ?,२५० प्रजातिका
बहुराष्ट्रिय लगानी प्रत्याभुति सस्थाको प्रधान कार्यालय कहाँ छ ?,वसिङटन डी.सी.
सर्बप्रथम मूल्य अभिवृद्धि कर कुन देश मा लागु भएको हो ?,France
हाम्रो शारीरमा कति किसिमका खनिज पईन्छन् ?,13
एकै ओभरमा छ छक्का प्रहार गर्ने पहिलो नेपाली को हुन ?,Aakash Thapa
नेपालको पहिलो (Antibiotic) औषधी  कुन हो ?,Penicillian
नेपालमा डिजिटल साक्षरता अभियान सञ्चालन गर्ने पहिलो प्रदेश कुन हो ?, प्रदेश १
" नेपाल को पहिलो भू - उपग्रह ""नेपाली स्याट -१"" को प्रक्षेपण कहिले गरियो?", बि स  २०७६  बैशाख ५
Bagmati अञ्चलको सदरमुकाम कुन हो ?,Kathmandu
Bajura जिल्लाको सदरमुकाम कुन हो ?,Martadi
लिम्बू भाषामा प्रयोग गरिने लिपि कुन हो ?,सिरीजङ्घा
स्वस्थानी ब्रतकथा कुन पुराण बाट लिएको हो ?,स्कन्ध पुराण
सुकरात मानिसलाई ज्ञान दिने होइन ………. बनाउन चाहन्थे ?,ज्ञानी
गान्धी व्यावसायीक कामको लागि दक्षिण अफ्रीका कहिले गएका थिय ?,सन् १८९४
अरस्तुका रचना कृति हरु कति रहेका छन् ?,४०० भन्दा बढी
नेपाली मुद्रालाई बास्केट प्रणालीमा विनिमय गर्ने निर्णय कहिले भएको थियो?,वि. स. २०३४ जेठ १७
विशवमा नेपालसहित कति भू-परिवेस्थीत् देशहरु छन् ?,३१
मकै र कोदो को लागि उपयुक्त माटो कुन मानिन्छ ?,रातो फुस्रो माटो
Goddess of Love and Beauty उपनामले समेत चिनिने ग्रह कुन हो?,Venus
Makalu Barun राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,1500 Sq. KM
Doing Business Report-2020 अनुसार नेपाल कति औं स्थानमा पर्न सफल भएको छ ?, ९४  औ
Bheri अञ्चलको सदरमुकाम कुन हो ?,Nepalgunj
राप्ती अञ्चलको सदरमुकाम कुन हो ?,Tulsipur
पैसा छुँदा पाप लाग्छ भन्ने विश्वास गर्ने जाती कुन हो ?,राउटे
"नेपालका कुन कवि ""बिम्ब कवि"" का रुपमा पनि परिचित छन् ?",रमेश श्रेष्ठ
From which country started Newspaper?,China
महान दार्सनिक Confucius को जन्म कहाँ भएको थियो?,Lu State of China
बि. स. २०१८ माघ ९ मा जनकपुरमा राजा महेन्द्र माथी बम प्रहार गर्ने को थिए ?,Durga Nand Jha
सर्वप्रथम नेपाल अधिराज्यको प्रधान न्यायालयको स्थापना कसको पालामा भएको थियो ?,जुद्दसम्सेर
खुलाद्वार निति भन्नाले के बुझिन्छ ?,स्वदेशी र बिदेसी लगानीकर्ता लाई समान ब्वयहार गर्नु
पर्यटन विकास बोडको अध्यक्षमा को रहन्छ ?,पर्यटन मन्त्रि /राज्यमन्त्री
सगरमाथा दिवस कहिले मानाइन्छ ?,Jestha 16
एसियाको सानो राष्ट्र कुन हो ?,MALDIVES
जलवायु परिवर्तनसम्बन्धी राष्ट्रसंघीय सम्मेलन (कोप-२५) -कोप २०१९ कहाँ हुदैछ?," पेरिस ,फ्रान्स"
सबै भन्दा गहिरो महासागर कुन हो ?,प्रशान्त
राजा जनकको दरबारमा रहेको शिव धनुषको नाम के थियो ?,पिनाक
बृहत् ज्ञानकोष का लेखक को हुन् ?,Didaro
मध्यकालीन पाटन राज्यको प्रथम शोतन्त्र शासक को थिए ?,बिष्णु सीह
Who was the father of Aristotle?,Nicomachus
सरकारले वि.सं २०७१ मंसिर १६ गते कति नयाँ नगरपालिका घोषणा गरेको छ ?,61
वर्तमान अवस्थामा ऋणको कुन भाग बढेको छ ?,बहुपक्षीय ऋण
नेपालको उद्योगका संस्थापक कुन राणा प्रधानमन्त्रीलाई भनिन्छ ?,Juddha Shumsher
हैजा रोग कुन किटाणु बाट सर्दछ ?,Vibrio Cholerae
सार्क रास्ट्रको कुल क्षेत्रफल वर्ग किमि छ ?,4369573 km
 ASEAN को दशौ सदस्य राष्ट्र कुन हो ?,कम्बोडिया
अर्थ मन्त्रालय एवं मातहतका विभाग तथा कार्यालयका काममा प्रभावकारिता ल्याउने उद्देश्यले सञ्चालनमा ल्याइएको गुनासो सुनुवाइ कक्षलाई के भनी चिनिन्छ ?,बिगुल
नागढुङ्गा–नौबिसे सुरुङमार्गको शिलान्यास कहिले गरिएको हो ?, विसं २०७६ कात्तिक ४
नेपालको पहिलो आधुनिक बैंक कुन  हो?,नेपाल बैंक लिमिटेड
हाल नेपाल को संबिधानमा अनुसार कति प्रकारका अदालत हुनेछन।,३ प्रकार
Central Development Region मा कति ओटा जिल्ला हरु रहेको छ ?,19
रारा ताल कति उचाइमा रहेको छ ?,3200 M
गोठाले भनेर कुन साहित्यकार लाई चिनिन्छ ?,गोबिन्द बहादुर मल्ल
अरनिकोको मिर्त्यु कहिले भएको थियो ?,वि.स.१३६३
Socrates को मृत्यु कहिले भएको हो ?,इसपुर्व 399
गणतन्त्र नेपालको प्रथम उपरास्ट्रपति को हुन् ?,परमानन्द झा
नेपालले विश्व व्यापार संगठनको सदस्यता कहिले  प्राप्त गर्यो?,23 अप्रिल 2004
Tied Loan भन्नाले के बुझिन्छ ?,ससर्त ऋण
मानव सरिरमा कती ओटा प्रणालीहरु हुन्छन?,9
Flying Shuttle का आबिस्करक को थिए ?,John Kay
पहिलो मिस नेपाल को हुनुहुन्छ ?, रुवी राणा
नेपालमा सन् २०३० सम्ममा कुपोषणको दर कति प्रतिशतमा झार्ने लक्ष्य लिइएको छ ?, १४ प्रतिशत
"५२ पोखरी, ५३ तालको जिल्ला भनेर कुन लाई चिनिन्छ ?",Rukum
"चेपे नदीको मुहान नेपालको कुन ताल "" पोखरी ""  मा पर्दछ ?",ढुध पोखरी
फेवा तालबाट निस्कने खोला पार्दि खोला हो भने रारा दहबाट निस्कने खोला कुन हो?,खत्याड
"""महेन्द्र प्रज्ञा पुरस्कार"" को राशी कति छ ?",१ लाख
नेपालको राष्ट्रयगानमा कति ओटा शब्द छन।,46
चेस खेलको सुरु कुन देशबाट भएको हो ?,India
लमजुंगका अन्तिम राजा कसलाई मानिन्छ ?,वीरमदन शाह
बढि महिला सैनिक भएको देशः  ,Israel
"BRICS मा पाँच राष्ट्र छन्।१ Brazil, २ Russia, ३ India, ४ China र पाँचौ राष्ट्र कुन हो ?",South Africa
एक Centimeter माटो को पत्र बन्न लाई सामान्यतया कति वर्ष लाग्छ ?,करिब 400 वर्ष
सबै भन्दा धेरै बाच्ने स्थल प्राणी कुन हो ?,कछुवा
Which is the Capital of Hungary?,Budapest
पृथ्वीमा जमिनको भाग कति प्रतिसत रहेको छ ?,29%
नेपालमा बगने महाकाली नदीलाई भारतमा के नदीले चिनिन्छ ?,शारदा
"कुन जतिको मिर्तुसस्कार गर्दा १०८ वटा बत्ती बाली ""म्याम्जा"" गर्ने प्रचलन छ ?",तामांड
Nelson Mandela कुन जनजाति का थिए ?,जोसा
"सबै भन्दा धेरै सम्मान, पदवी पाउने राजनेता मध्ये South Africa का प्रथम अश्वेत राष्ट्रपती Nelson Mandela पनी एक हुन्।उनले आफ्नो जीवनकाल मा कति पुरस्कार पाएका थिए ?",695
गणतन्त्र नेपालका प्रथम रास्ट्रपति को हुन् ?,राम बरण यादव
नेपालमा सर्बप्रथम रोप-वे निर्माण गराउने को हुन् ?,Chandra Shamsher
"""कानुनको अवज्ञा गर्नुनै राज्य को अस्तितित्वोलाई नै नकार्नु हो"" यो भनाइ कसको हो ?",Socrates
हाल विश्वमा करीब २१.४० करोड मानिस आप्रवासीका रूपमा रहेका छन् भने एशिया तथा प्रसान्त क्षेत्रमा यसको हिस्सा कति रहेको छ ?(2012 / 2013 AD Data)  ,25 %
सार्वजनिक सस्थाहरुमध्ये वितिय क्षेत्रअन्तरगत रहेको संस्थानहरुको संख्या कति छ ?,८
पाँच करोड रुपैया माथि पन्ध्र करोड रुपैया सम्म स्थिर र जेथा भएको उद्योग लाई के भनिन्छ ?,मझौला उदयोग
Makhaya Ntini is related with which sport?,Cricket
Wayne Gretzky is related with?,Ice Hockey
काठमाडौँ उपत्यकामा विद्युतीय बस सेवाको सुरुवात कहिलेदेखि गरिएको हो ?, विसं २०७६ भदौ २४
"Gorkha Tole lies in France, where does the village names ""Nepal"" lies?",Japan
Mohottari जिल्लाको सदरमुकाम कुन हो ?,Jaleshwor
अरस्तु (Aristotle) कसका चेला थिए ?,प्लेटो (Plato)
रामले सीतालाई त्यागे पछि उनले कुन ऋषिको आश्रममा शरण लिएकी थिइन ?,बाल्मिकी
डेटोटिक लिपिको विकास कुन सभ्यतामा भएको हो?,मिश्र
 `सत्यग्रह भनेर के बुझिनछ ?,माथिको सबै
कौटिल्य को कुन ग्रन्थ लाई पुर्विय शासन पद्दतीको important कृति मानिएको छ ?,अर्थशास्त्र
नेपाललाई सर्बप्रथम बिदेसी सहायता उपलब्ध गराउने बहुपक्षीय संस्था कुन हो ?,UNDP
Which is the largest bilateral donor to Nepal?,Japan
Swine Flu वा Influenza A H1N1 बाट मृत्यु हुने पहिलो नेपाली को हुन् जो नेपाल सरकारको निजामती कर्मचारी पनि थिए र उनलाई अमेरिकामा यो रोग लागेको थियो ?,Bhawa Krishna Bhandari
सबै भन्दा सानो चरा कुन हो ?,Bee Humming Bird
ढोरपाटन सिकार आराक्ष्य कती क्षेत्रफल मा फैलिएको छ ?,1325 Sq. KM
फोर्ब्स पत्रिकाको  रिपोर्ट २०१८ आनुसार बिश्वक दस शक्तिसाली मय्धे  # १ मा को छन्?,Xi Jinping
Dhawalagiri अञ्चलमा कती ओटा जिल्लाहरु छन् ?,4
Which is the Capital of Zimbabwe?,Harare
नेपालको कुन जिल्लाको आकार नेपालको नक्सा संग मिल्दो जुल्दो छ ?,बाग्लुंग
रामशाहले कति वर्ष राज्य गरेका थिए ?,२७ वर्ष
कैलाशकुट भवन कुन ठाउमा अवस्थीत थियो ?,देवपटन
भैरब लाई हसाउने राजा को हुन् ?,Pratap Malla
पहिलो आम निर्वाचन कहिले भएको हो ?,२०१५ फागुन ७
कौटिल्य लाई आर्को के नाम ले चिनिन्छ ?,चाणक्य
नेपाल मा बाघ संरक्षणका लागि ३० लाख डलर (३० करोड रुपैया ) सहयोग गर्ने  Hollywood का चिरपरिचित नायक को हुन ?,Leonardo da Dicaprio
नेपालको तराई क्षेत्रमा कुन प्रकार को माटो पाईन्छ ?,पाँगो माटो
लिम्बु जातिले कुन पर्व मनाउदछन ?,फोदडमा
0 and 1 Number System is Called?,Binary
International Green Cross को स्थापना कहिले भएको थियो ?,सन् १९९२
यस वर्ष (विसं २०७६) को चक्रपाणि स्मृति पुरस्कार कसलाई प्रदान गरियो ?,बालसाहित्यकार एवम् जीवनीकार गोपाल पराजुली
"जनशंख्याको आधारमा नेपाल, विश्वमा कतिवौ स्थानमा पर्दछ ?",49
Mugu जिल्लाको सदरमुकाम कुन हो ?,Gamgadi
Rautahat जिल्लाको सदरमुकाम कुन हो ?,Gaur
भानुभक्त आचार्य ले पढ्न - लेख्न को बाट सिकेका थिए ?,हजुरबुवा श्रीकृष्ण आचार्य
पृथ्वीनारयण शाहले कोसंग मित लागाएका थिए ?,विरनरसिह
कांग्रेसको १३ औ  महाधिबेसनबाट सभापतिमा को निर्वाचित भयो ?,Sher Bahadur Deuba
महात्मा गान्धीको वास्तविक नाम के हो ?,मोहनदास करमचन्द  गान्धी
नेपाल राष्ट्र बैंकको लेखापरिक्षण कसले गर्छ ?,महालेखा परिक्षकले
शुद्ध रगत बोक्ने Vein कुन हो ?,Pulmonary Vein
आर्थिक सर्वेक्षण २०७३/७४ अनुसार आ.व. २०७३/७४ मा नेपालमा कति खाद्यान्न उत्पादन हुने अनुमान छ ?,९७ लाख ४१ हजार टन
कुन बिकाश क्षेत्रमा सबै भन्दा धेरै जिल्लाहरु छन् ?,Centeral Development Region
Central Development Region मा नपर्ने अञ्चल कुन हो ?,Koshi
Central Development Region मा पर्ने अञ्चल कुन हो ?,Narayani
भिमसेन थापाको जन्म कहिले भएको थियो ?,वि.स. १८३२
 बौद्ध धर्मका चार स्तुपा कसले बनाएका थिए ?,Mandev
नेपाल को संबिधान - २०७२ कहिले जारी भएको हो ?,2072-Ashoj-3
१२ बर्षको उमेरमा मोहनदास करमचन्द (महात्मा गान्धी) को बिबाह को संग भएको थियो ?,कस्तुरवा
हाल नेपालमा वन क्षेत्रले ढाकेको भू-भाग कति छ ?,29 %
 क्रेडिट कार्ड प्रयोग गर्ने नेपालको पहिलो बैँक कुन हो ?,Himalayan Bank
एड्स रोगको उत्पती सर्वप्रथम कुन देशमा भएको हो ?,अफ्रिका
संयुक्त राष्ट्र संघ शान्ति स्थापना गर्न सबैभन्दा बढी खर्च गरेको मुलुक कुन हो?, कम्बोडिया
Lamjung जिल्लाको सदरमुकाम कुन हो ?,Besisahar
सगरमाथा हिमालको उचाई कति फिट छ?,29028
 सबैभन्दा गहिरो नदी कुन हो ?,Narayani
अंशुबर्मा कुन सम्प्रदायका थिए ?,पासुपत सम्प्रदाय
नोबेल शान्ति पुरस्कारका  लागी महात्मा गान्धी पाँच चोटी मनोनयनमा परेका थिए भने Jawaharlal Nehru सो पुरस्कारका लागी कतिपटक मनोनयन मा परेका थिए?(तर उनले सो पुरस्कार एक चोटी पनि प्राप्त गरेनन) ,11 Times
राणाकालीन समयमा नेपालमा कति जना प्रधानमन्त्री भएका थिय ?,११ जना
"नेपाली सेनाको सेनानी (मेजर), निजामती कर्मचारीको कुन श्रेणीको पद बराबर मानिन्छ ?",उप सचिब
Confucius ले कति वर्ष को उमेरमा आफैले बिद्यालय खोली संचालन गरेका थिए ?,22
उपभोक्तामाथि सिधै लगाईने कारलाई के भनिन्छ ?,प्रत्क्ष्य कर
'संसारको चिडियाखाना' भनेर कुन जलवायुलाई चिनिन्छ ?,उष्ण मौसमी जलवायु
आप्रवासी कामदारको मानवअधिकार संरक्षणसम्बन्धी अन्तर्राष्ट्रिय सम्मेलनको आयोजना काठमाडौँमा कहिले गरियो ?, २०७६ कात्तिक २६–२८
Bara जिल्लाको सदरमुकाम कुन हो ?,Kalaiya
क्षेत्रफलका हिसाबले विश्वकै सबभन्दा ठूलो राष्ट् कुन हो ?,Russia
नेपालको सबै भन्दा ठुलो राष्ट्रिय निकुञ्ज कुन हो ?,Shey Phoksundo National Park
"""Man is born free but everywhere he is in chains"" यो भनाइ कसको हो ?",Russo
"""I would like to be ruled by 1 lion rather by hundred rats"" यो भनाइ कसको हो ?",Voltaire
महिला माथि दुरब्वोहार गरेको आरोपमा राजीनामा दिने कृषि मन्त्री को हुन् ?,हरि पराजुली
(Socrates) सुकरातको आमा को नाम के हो ?,Phaenarete
सार्बजनिक संस्थानहरु मध्ये सेवा क्षेत्रअन्तर्गत रहेका संस्थानहरुको संख्या कति छ?,7
Which is the Economic Capital (आर्थिक राजधानी) of China?,Shanghai
Rara राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,106 Sq. KM
कुन ग्रुपको रगत स्थान्तरण गर्न सबैभन्दा सुरक्षित हुन्छ ?,0 N
Amazon.com कस्तो खालको Website हो ?,E-Commerce
 विश्व कला परिषद्ले ललितपुर महानगरपालिकालाई कतिऔँ कला नगरीका रूपमा घोषणा गरेको छ ?,३५औँ
तल दिएको मध्य कुन जिल्ला सगरमाथा अञ्चलमा पर्दछ ?,Khotang
विश्वको सबै भन्दा गहिरो ठाउँ कुन हो ?,Mariana Trench
Gandaki अञ्चलको सदरमुकाम कुन हो ?,Pokhara
ताजीया कुन धर्मालम्बीको पर्व हो ?,Muslim
वेदव्यासको बुबाको नाम के हो ?,परासर
"राजनीतिको मुख्य उदेश्य समाज र मानिस लाई नैतिकवान बनाउनु हो, यो भनाइ कसको हो?",महात्मा गान्धी
जावलाखेल चिडियाखाना को स्थापना कसले गरेका हुन् ?,Juddha Samsher
अरस्तुका बुबा उनलाई चिकित्सक बनाउन चाहन्थे भने उनि चाहिँ भविस्यमा के बन्न चाहन्थे ?,Politician
कृतिपुर कहिले विजय प्राप्त गर्न सकियो ?, १८२२ चैत्र ३
राष्ट्रिय कृषि गणना २०६८ को प्रतिवेदन अनुसार पछिल्लो १० वर्षमा सुँगुर - बंगुर पालन ३० प्रतिसतले बढेको छ भने भेडा पालन कति प्रतिसतले बढेको छ ?,29 %
नेपाली आर्थतन्त्र को बिसेसता दिएको मध्ये कुन हो ?,सबै उत्तर ठिक छन्
अन्तर्राष्ट्रियपर्वतीय संग्राहालय कहाँ रहेको छ ?,खिम्ती
FLU  'एक प्रकारको रुघाखोकी' सर्ने मध्यम कुन हो ?,चराचुरुंगीहरुबाट
सबै भन्दा ठुलो स्थल जनावर कुन हो ?,Elephant
१३औ सग गमे- २०१९(काठमाडौँ -पोखरा) कति स्वर्ण पदक  वितरण गरिने भएको छ ?,३१७
 १३औँ सागको प्रत्यक्ष प्रसारण गर्ने ?अधिकार कसले प्राप्त गरेको छ , एनके मिडिया भेन्चर प्रालि
अन्तराष्ट्रिय  फौजदारी अदालत को सदस्यता त्याग्ने राष्ट्र कुन को ?, बुरुण्डी
Which is the largest office build in the world?,"The Pentagon, USA"
बार्हकुने ताल कुन जिल्लामा पर्दछ ?,Dang
 २०७१ मा लक्ष्मीप्रसाद देवकोटाको कतिऔ जन्म जयन्ती मनाइयो ?,106
युनानको प्रमुख बाली के थियो ?,गहु
पृथ्वीनारयण शाहको जन्म कहाँ भएको थियो ?,गोरखा
पृथ्वीनारयण शाहको देहावसान कहाँ भएको थियो ?,नुवाकोटको देवीघाट
हाल नेपालमा कति वटा औधोगीक रहेका छन् ?,११
राष्ट्रिय कृषि गणना २०६८ को प्रतिवेदन अनुसार पछिल्लो १० वर्षमा कुखुरा पालन ४९ प्रतिसतले बढेको छ भने बाख्रा पालन कति प्रतिसतले बढेको छ ?,59 %
World Bank ले हालै सार्बजनिक गरेको प्रतिबेदन अनुसार (2012 AD) मा कुल गार्हस्थ उत्पादन (GDP) को अनुपात मा सबै भन्दा धेरै रेमिटान्स (Remittance) भित्र्याउने मुलुक कुन हो?,Tajikistan
भ्यागुते रोग विरुद्ध कुन खोप दिईइन्छ ?,DPT
जगदम्बा-श्री  पुरस्कार २०७५ कसलाई  प्रदान गरीयो?,वैरागी काइँला
नेपालको कुन ठाउँमा सारस प्रजनन केन्द्र रहेको छ ?,कपिलवस्तु
BRICS को 12औ सम्मेलन कहाँ हुदैछ?,रुस(सन 2020 मा)
Central Development Region को कती ओटा अञ्चलले चीन र भारत दुवै छोएको छ ?,1
माछा नपाइने नदी कुन हो ?,Jordan
Darchula जिल्लाको सदरमुकाम कुन हो ?,Darchula
पृथ्वीनारयण शाहका पिता राजा नरभूपाल शाह हुन् भने आम को हुन् ?,कौसल्यावती
Mona Lisa का चित्रकार को हुन् ?,Leonardo Da Vinci
नेपालको पहिलो सहिद कसलाई मानिन्छ ?,Lakhan Thapa
चाणक्य को जन्म कहाँ भएको विश्वास गरिन्छ ?,तत्कालिन भारत को तक्षसिला
South Africa मा सन् 1994 मा Nelson Mandela को नेतृत्वमा गठित पहिलो राष्ट्रिय सरकारमा कती जना भारतीय मुलका मन्त्री थिए ?,11
नेपाल राष्ट्र बैंकका संचालकको कार्यकाल कति वर्षको हुन्छ ?,5 वर्ष
SAARC राष्ट्रमा सबै भन्दा पहिले VAT लागु गर्ने राष्ट्र कुन हो ?,Pakistan
Which of the below option is not a Storage Device in Computer?,Printer
Cotton Gin को अविस्कार कसले गरेका हुन् ?,Eli Whitney
बाघ गणना 2075 अनुसार हाल नेपालमा बाघको संख्या कति रहेको छ?,235 वटा
नेपालको कुन जिल्लाको आकार हलो को जस्तो छ ?,रामेछाप
South Africa मा हाल कुल जनसंख्याको कती प्रतिसत भारतीय छन् ?,3 %
Pyuthan जिल्लाको सदरमुकाम कुन हो ?,Pyuthan Khalanga
राजगद्दी र प्रेमिका मध्ये एक लाई चुन्नुपर्दा ११ महिनापछि गद्दी त्यागी बिधवा Wallis Simpson सँग बिहे गर्ने बेलायती राजा को हुन् ?,Edward VIII
